"stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_url","wheelchair_boarding"
"302323","302323","Huldenberg Onder Smeysberg","50.791099","4.592527","https://www.delijn.be/nl/haltes/302323","0"
"107391","107391","Kontich Mechelsesteenweg","51.145087","4.459811","https://www.delijn.be/nl/haltes/107391","1"
"108550","108550","Deurne Ruggeveld","51.219736","4.481804","https://www.delijn.be/nl/haltes/108550","1"
"300664","300664","Boortmeerbeek Puttekensweg","50.978442","4.578436","https://www.delijn.be/nl/haltes/300664","0"
"301705","301705","Grimbergen Cockeries","50.948701","4.416848","https://www.delijn.be/nl/haltes/301705","0"
"307860","307860","Bierbeek Middelbosstraat","50.831536","4.789109","https://www.delijn.be/nl/haltes/307860","0"
"402894","402894","Loksbergen Klein Frankrijk","50.928358","5.063439","https://www.delijn.be/nl/haltes/402894","1"
"506546","506546","Oostende Renbaan","51.223102","2.895705","https://www.delijn.be/nl/haltes/506546","1"
"301042","301042","Sint-Jans-Molenbeek Hertogin Brabant","50.849596","4.330001","https://www.delijn.be/nl/haltes/301042","1"
"213094","213094","Kaprijke Beekstraat","51.211746","3.624637","https://www.delijn.be/nl/haltes/213094","0"
"303185","303185","Wilsele Corbeelsplein","50.917607","4.697809","https://www.delijn.be/nl/haltes/303185","0"
"508538","508538","Markegem Station","50.948114","3.401204","https://www.delijn.be/nl/haltes/508538","0"
"510269","510269","Meulebeke Astridlaan","50.948132","3.283268","https://www.delijn.be/nl/haltes/510269","0"
"105075","105075","Mechelen Caputsteenstraat","51.034938","4.482936","https://www.delijn.be/nl/haltes/105075","0"
"400825","400825","Munsterbilzen Schietboomstraat","50.883952","5.528721","https://www.delijn.be/nl/haltes/400825","0"
"401188","401188","Bree Roterstraat","51.134917","5.612049","https://www.delijn.be/nl/haltes/401188","1"
"304825","304825","Duisburg Beeldekensgatstraat","50.816058","4.539418","https://www.delijn.be/nl/haltes/304825","0"
"508124","508124","Diksmuide Ijzerbrug","51.033648","2.850783","https://www.delijn.be/nl/haltes/508124","1"
"107348","107348","Berlaar Ezenhoek","51.107715","4.695094","https://www.delijn.be/nl/haltes/107348","0"
"205169","205169","Zele Heikant","51.056532","4.012166","https://www.delijn.be/nl/haltes/205169","0"
"208237","208237","Oudenaarde Station perron 6","50.850672","3.601384","https://www.delijn.be/nl/haltes/208237","0"
"212098","212098","Lokeren Doorgangstraat","51.111170","3.923345","https://www.delijn.be/nl/haltes/212098","0"
"216075","216075","Lebbeke Administratief centrum","50.999300","4.123999","https://www.delijn.be/nl/haltes/216075","0"
"517688","517688","Rumbeke De Vink","50.932376","3.141049","https://www.delijn.be/nl/haltes/517688","0"
"203949","203949","Kwatrecht Biezeweg","50.987837","3.848508","https://www.delijn.be/nl/haltes/203949","0"
"208586","208586","Sint-Lievens-Esse Pijpketel","50.852099","3.857041","https://www.delijn.be/nl/haltes/208586","0"
"304892","304892","Vossem Pastorieplein","50.835709","4.560599","https://www.delijn.be/nl/haltes/304892","0"
"203292","203292","Knesselare Maldegemseweg","51.136891","3.419049","https://www.delijn.be/nl/haltes/203292","0"
"216533","216533","Mere Bosstraat","50.926719","3.956820","https://www.delijn.be/nl/haltes/216533","1"
"402587","402587","Muizen Hoeve","50.759864","5.175192","https://www.delijn.be/nl/haltes/402587","0"
"306143","306143","Leerbeek Sint-Pietersplein","50.775606","4.118173","https://www.delijn.be/nl/haltes/306143","0"
"400564","400564","Koersel Steenveld","51.051052","5.243128","https://www.delijn.be/nl/haltes/400564","0"
"209129","209129","Roborst Machelgemstraat","50.861369","3.759145","https://www.delijn.be/nl/haltes/209129","1"
"304263","304263","Pamel Kleiberg","50.840960","4.080830","https://www.delijn.be/nl/haltes/304263","0"
"514793","514793","Marke Vannestesmolen","50.806219","3.246874","https://www.delijn.be/nl/haltes/514793","0"
"101019","101019","Wilrijk Rooiboslaan","51.176682","4.382010","https://www.delijn.be/nl/haltes/101019","0"
"109716","109716","Lier Station perron 6","51.135644","4.562661","https://www.delijn.be/nl/haltes/109716","0"
